source,number,answer,answer_lookup_source,stem
國考題 病理,100-2 第80題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,有關結核病之敘述，下列何者錯誤？
國考題 病理,100-2 第83題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,一名 32 歲男性，因發燒、咳嗽，且從前一天開始覺得呼吸愈來愈困難而就醫。胸部X 光檢查顯示兩 側大量肋膜腔積水，穿刺術由肋膜腔抽取約500 毫升略為混濁的黃色液體，顯微鏡下可見此液體內 有許多嗜中性白血球的存在。下列何種機制最可以解釋在肋膜腔所造成的變化？
國考題 病理,100-2 第91題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,肺部因食用不明藥物引起慢性間質性肺病，導致肺容量及肺餘容積變小，氣體交換能力降低，形成 慢性纖維化之蜂巢狀肺。其造成的後續影響最不可能為下列何者？
國考題 病理,101-1 第99題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,一名 70 歲罹患心臟衰竭的男性出現肺臟病變，鏡下變化如圖所示，則該病變應是：
國考題 病理,101-2 第83題,ABC,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,肺癌病人合併肋膜腔積水，細胞學檢查發現有肺癌細胞轉移，下列敘述何者最正確？
國考題 病理,101-2 第93題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,37 歲男子長年酗酒，最近3 年常噁心嘔吐。某晚喝酒完開始劇烈嘔吐，因大量吐血被送急診室。到 達醫院時脈搏增加，血壓下降，醫師檢查發現他的心音規則，心和肺都無雜音，腹部無壓痛或鼓脹， 糞便檢查並無潛血反應。下列何者是最符合的診斷？
國考題 病理,102-1 第86題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,肺栓塞（pulmonary embolism）的發生原因與下列那一項因素的相關性最高？
國考題 病理,102-1 第87題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,30 歲男性，有藥物濫用及淋病史，最近出現呼吸短促及發燒。胸部X 光顯示，兩側瀰漫性浸潤陰影， 切片肺泡內有泡沫狀滲出物。以下何者與此現象最相關？
國考題 病理,102-1 第98題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,65 歲婦人，住加護病房，3 天後發燒、膿痰，X 光顯示有雙側性肺炎，組織學如圖示。其最可能的 診斷為：
國考題 病理,102-2 第86題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,造成慢性肺高壓之原因，最不可能為下列何者？
